Id Lon Lat Demand[kg] Demand[m^3*10^-3] Duration
C155 121.520256 31.262272 45 501 00:13:00
C156 121.434723 31.320715 54 599 00:07:00
C157 121.453156 31.247059 28 306 00:14:00
C158 121.536476 31.176254 62 684 00:14:00
C159 121.330574 31.124784 35 392 00:14:00
C160 121.39386 31.249073 64 701 00:07:00
C161 121.518883 31.176476 35 387 00:14:00
C162 121.500221 31.280058 59 654 00:09:00
C163 121.281425 31.047873 26 291 00:12:00
C164 121.406334 31.102474 63 693 00:07:00
C165 121.247604 31.103548 69 763 00:07:00
C166 121.447495 31.235929 37 405 00:13:00
C167 121.326805 31.299805 65 712 00:11:00
C168 121.268188 31.292469 22 242 00:08:00
C169 121.276688 31.359621 45 492 00:13:00
C170 121.593224 31.185217 60 664 00:11:00
C171 121.288925 31.291025 41 454 00:08:00
C172 121.57222 31.137985 47 519 00:06:00
C173 121.377022 31.144825 46 506 00:14:00
C174 121.429459 31.206259 28 316 00:15:00
C175 121.430901 31.236139 49 543 00:08:00
C176 121.478935 31.252638 33 361 00:15:00
C177 121.4487 31.318993 50 548 00:06:00
C178 121.233635 31.371883 27 300 00:08:00
C179 121.432037 31.270874 60 664 00:08:00
C180 121.254761 31.044579 20 229 00:06:00
C181 121.409035 31.002428 37 410 00:14:00
C182 121.366913 31.107492 26 290 00:06:00
C183 121.57711 31.335751 29 322 00:10:00
C184 121.368919 31.011194 24 273 00:13:00
C185 121.305603 31.116808 70 772 00:15:00
C186 121.286362 31.161493 49 536 00:10:00
C187 121.422333 31.031464 37 413 00:14:00
C188 121.589958 31.090176 64 706 00:11:00
C189 121.359924 31.387897 20 221 00:06:00
C190 121.561302 31.287933 18 201 00:15:00
C191 121.540436 31.307634 61 676 00:09:00
C192 121.451843 31.221252 54 598 00:15:00
