From To DistanceTotal[km] DistanceInside[km] DistanceOutside[km] Duration[s]
D0 C80 5.112 0 5.112 00:03:36
D0 C81 27.209 2.234 24.975 00:14:06
D0 C82 6.847 0 6.847 00:05:03
D0 C83 26.962 2.234 24.728 00:14:46
D0 C84 8.934 0.825 8.109 00:05:21
D0 C85 19.029 0.942 18.087 00:10:56
D0 C86 28.674 0 28.674 00:17:12
D0 C87 29.267 22.128 7.139 00:17:23
D0 C88 13.886 0 13.886 00:09:12
D0 C89 5.936 0 5.936 00:06:13
D0 C90 14.622 7.483 7.139 00:08:45
D0 C91 31.148 2.234 28.914 00:17:21
D0 C92 27.068 2.234 24.834 00:13:41
D0 C93 22.976 15.837 7.139 00:13:32
D0 C94 22.003 2.234 19.769 00:12:09
D0 C95 22.473 0 22.473 00:12:03
D0 C96 12.882 5.205 7.677 00:07:54
D0 C97 31.045 23.906 7.139 00:19:54
D0 C98 13.355 0 13.355 00:08:00
D0 C99 32.836 2.234 30.602 00:18:44
D0 C100 16.936 6.557 10.379 00:10:20
D0 C101 26.84 19.701 7.139 00:16:09
D0 C102 31.193 2.234 28.959 00:17:30
D0 C103 30.359 9.165 21.194 00:15:41
D0 C104 13.612 3.233 10.379 00:09:01
D0 C105 12.112 0 12.112 00:07:16
D0 C106 28.855 21.716 7.139 00:17:14
D0 C107 20.811 13.672 7.139 00:12:17
D0 C108 10.328 2.651 7.677 00:06:22
D0 C109 5.355 0 5.355 00:03:56
D0 C110 21.002 10.874 10.128 00:11:04
D0 C111 8.526 0 8.526 00:05:09
D0 C112 16.214 8.537 7.677 00:10:03
D0 C113 16.214 8.537 7.677 00:10:03
D0 C114 9.723 1.226 8.497 00:06:20
D0 C115 32.867 21.178 11.689 00:19:44
D0 C116 15.38 0 15.38 00:09:14
D0 C117 28.954 16.502 12.452 00:15:30
D0 C118 11.982 0 11.982 00:07:09
D0 C119 23.995 12.717 11.278 00:13:13
D0 C120 32.809 9.165 23.644 00:16:13
D0 C121 36.991 2.234 34.757 00:20:33
D0 C122 5.322 0 5.322 00:03:11
D0 C123 7.15 0 7.15 00:04:55
D0 C124 22.113 2.234 19.879 00:11:37
D0 C125 26.458 8.376 18.082 00:16:35
D0 C126 4.228 0 4.228 00:04:55
D0 C127 21.529 2.234 19.295 00:11:16
D0 C128 16.136 0 16.136 00:09:44
D0 C129 13.348 0 13.348 00:07:31
D0 C130 35.353 9.165 26.188 00:18:40
D0 C131 20.736 0 20.736 00:12:44
D0 C132 11.29 0 11.29 00:06:22
D0 C133 11.957 0 11.957 00:07:36
D0 C134 5.932 0 5.932 00:03:46
D0 C135 23.995 12.717 11.278 00:13:13
D0 C136 20.259 0 20.259 00:12:25
D0 C137 5.743 0 5.743 00:03:26
D0 C138 29.354 16.902 12.452 00:15:43
D0 C139 32.414 17.09 15.324 00:17:33
D0 C140 15.58 8.441 7.139 00:09:07
D0 C141 16.981 9.842 7.139 00:09:58
D0 C142 20.501 0 20.501 00:21:38
D0 C143 29.704 0 29.704 00:17:58
D0 C144 35.114 13.718 21.396 00:21:20
D0 C145 13.444 6.305 7.139 00:07:56
D0 C146 32.107 9.165 22.942 00:16:31
D0 C147 44.827 9.165 35.662 00:22:14
D0 C148 9.939 2.262 7.677 00:06:41
D0 C149 11.462 0 11.462 00:07:25
D0 C150 29.163 13.718 15.445 00:17:14
D0 C151 19.01 11.871 7.139 00:11:39
D0 C152 34.02 0 34.02 00:20:51
D0 C153 21.456 0 21.456 00:13:15
D0 C154 16.309 8.632 7.677 00:09:57
D0 C155 25.569 18.43 7.139 00:15:13
D0 C156 29.542 17.09 12.452 00:15:49
D0 C157 19.778 12.639 7.139 00:11:46
D0 C158 26.445 2.234 24.211 00:14:21
D0 C159 4.598 0 4.598 00:03:19
D0 C160 16.618 9.479 7.139 00:09:49
D0 C161 21.983 8.376 13.607 00:13:22
D0 C162 25.609 18.47 7.139 00:15:07
D0 C163 15.276 0 15.276 00:09:31
D0 C164 10.849 0 10.849 00:06:18
D0 C165 12.14 0 12.14 00:08:11
D0 C166 18.261 11.122 7.139 00:10:46
D0 C167 22.029 11.135 10.894 00:11:58
D0 C168 21.196 0 21.196 00:12:48
D0 C169 27.143 0 27.143 00:16:17
D0 C170 32.188 2.234 29.954 00:19:38
D0 C171 19.757 0 19.757 00:11:51
D0 C172 26.502 2.234 24.268 00:16:03
D0 C173 5.861 0 5.861 00:03:53
D0 C174 13.873 3.494 10.379 00:08:30
D0 C175 17.814 10.675 7.139 00:10:40
D0 C176 22.034 14.895 7.139 00:13:01
D0 C177 30.337 17.885 12.452 00:16:27
D0 C178 30.176 0 30.176 00:18:07
D0 C179 21.226 14.087 7.139 00:12:43
D0 C180 18.861 0 18.861 00:10:08
D0 C181 19.882 0 19.882 00:12:03
D0 C182 7.32 0 7.32 00:04:23
D0 C183 37.788 13.718 24.07 00:22:42
D0 C184 18.841 0 18.841 00:11:37
D0 C185 6.145 0 6.145 00:03:41
D0 C186 8.366 0 8.366 00:09:43
D0 C187 17.92 0 17.92 00:10:19
D0 C188 30.073 2.234 27.839 00:16:56
D0 C189 33.852 9.165 24.687 00:18:04
D0 C190 31.651 24.512 7.139 00:19:43
D0 C191 32.454 25.315 7.139 00:19:45
D0 C192 17.743 10.604 7.139 00:10:29
C1 D0 24.093 17.944 6.149 00:14:31
C1 C1 0 0 0 00:00:00
C1 C2 23.693 22.001 1.692 00:14:31
C1 C3 14.394 13.824 0.57 00:09:01
C1 C4 16.574 16.574 0 00:10:42
C1 C5 4.972 4.972 0 00:03:27
C1 C6 8.813 8.813 0 00:05:36
C1 C7 17.584 17.584 0 00:10:57
C1 C8 20.475 11.079 9.396 00:13:02
C1 C9 27.717 17.944 9.773 00:17:38
C1 C10 4.364 4.364 0 00:03:02
C1 C11 43.451 18.99 24.461 00:24:11
C1 C12 3.159 3.159 0 00:02:29
C1 C13 26.587 3.465 23.122 00:17:46
C1 C14 13.688 9.017 4.671 00:09:01
C1 C15 14.763 3.465 11.298 00:09:56
C1 C16 38.782 18.99 19.792 00:23:46
C1 C17 18.935 17.439 1.496 00:11:51
C1 C18 13.898 13.898 0 00:08:44
C1 C19 16.442 9.746 6.696 00:10:47
C1 C20 30.579 17.944 12.635 00:18:36
C1 C21 21.937 18.99 2.947 00:14:00
C1 C22 26.28 18.782 7.498 00:16:05
C1 C23 22.108 18.895 3.213 00:13:35
C1 C24 20.076 5.641 14.435 00:11:52
C1 C25 14.464 14.464 0 00:09:07
C1 C26 32.605 14.93 17.675 00:18:42
C1 C27 1.106 1.106 0 00:01:19
C1 C28 43.636 18.99 24.646 00:27:00
C1 C29 16.64 3.465 13.175 00:10:32
C1 C30 6.248 6.248 0 00:04:13
C1 C31 29.844 18.99 10.854 00:19:07
C1 C32 8.045 5.641 2.404 00:05:21
C1 C33 21.847 14.173 7.674 00:13:01
C1 C34 31.796 14.93 16.866 00:18:56
C1 C35 5.725 3.465 2.26 00:04:21
C1 C36 17.967 17.967 0 00:11:06
C1 C37 28.225 15.908 12.317 00:17:15
C1 C38 9.827 6.323 3.504 00:06:52
C1 C39 19.235 19.235 0 00:11:58
C1 C40 22.449 18.99 3.459 00:14:09
C1 C41 18.639 3.465 15.174 00:11:44
C1 C42 38.366 18.99 19.376 00:23:51
C1 C43 12.562 8.483 4.079 00:08:52
C1 C44 32.116 17.944 14.172 00:19:31
C1 C45 24.853 14.414 10.439 00:15:22
C1 C46 15.822 15.822 0 00:10:19
C1 C47 31.637 17.944 13.693 00:19:14
C1 C48 7.46 7.46 0 00:05:00
C1 C49 15.7 5.641 10.059 00:09:45
C1 C50 20.766 17.846 2.92 00:13:56
C1 C51 8.503 8.503 0 00:05:26
C1 C52 23.639 17.944 5.695 00:14:22
C1 C53 6.731 6.731 0 00:04:21
C1 C54 13.908 11.079 2.829 00:09:08
C1 C55 3.077 3.077 0 00:02:09
C1 C56 31.735 14.93 16.805 00:18:11
C1 C57 29.472 14.93 14.542 00:17:38
C1 C58 9.606 6.487 3.119 00:06:10
C1 C59 21.603 14.942 6.661 00:13:33
C1 C60 31.075 14.93 16.145 00:17:49
C1 C61 19.162 2.639 16.523 00:12:02
C1 C62 16.542 2.639 13.903 00:10:38
C1 C63 24.01 14.414 9.596 00:14:43
C1 C64 27.798 22.991 4.807 00:17:04
C1 C65 9.647 9.647 0 00:06:06
C1 C66 41.543 18.99 22.553 00:23:31
C1 C67 25.634 9.017 16.617 00:15:41
C1 C68 29.068 17.944 11.124 00:17:54
C1 C69 31.512 18.99 12.522 00:18:54
C1 C70 31.599 14.173 17.426 00:17:34
C1 C71 41.865 18.99 22.875 00:23:37
C1 C72 29.493 2.639 26.854 00:18:31
C1 C73 26.66 18.782 7.878 00:16:25
C1 C74 7.854 3.465 4.389 00:05:16
C1 C75 1.467 1.467 0 00:01:37
C1 C76 26.285 18.99 7.295 00:16:21
C1 C77 14.325 3.465 10.86 00:09:11
C1 C78 30.76 18.99 11.77 00:19:37
C1 C79 39.117 17.944 21.173 00:23:00
C1 C80 21.667 18.922 2.745 00:13:50
C1 C81 16.895 3.465 13.43 00:10:51
C1 C82 18.159 17.447 0.712 00:11:47
C1 C83 21.665 3.465 18.2 00:13:47
C1 C84 18.266 18.266 0 00:11:33
C1 C85 26.871 22.991 3.88 00:16:31
C1 C86 30.265 14.93 15.335 00:17:18
C1 C87 5.549 5.549 0 00:04:22
C1 C88 28.428 18.591 9.837 00:18:10
C1 C89 28.914 18.99 9.924 00:20:17
C1 C90 11.402 11.402 0 00:07:24
C1 C91 30.874 2.639 28.235 00:18:57
C1 C92 19.407 3.465 15.942 00:12:01
C1 C93 2.503 2.503 0 00:02:10
C1 C94 14.843 3.465 11.378 00:10:00
C1 C95 42.938 18.99 23.948 00:24:00
C1 C96 13.151 13.151 0 00:08:29
C1 C97 7.327 7.327 0 00:06:53
C1 C98 32.733 18.99 13.743 00:20:14
C1 C99 27.539 3.465 24.074 00:17:46
C1 C100 8.396 8.396 0 00:05:26
C1 C101 5.248 5.248 0 00:04:00
C1 C102 30.176 3.465 26.711 00:18:48
C1 C103 19.58 9.017 10.563 00:12:14
C1 C104 12.167 12.167 0 00:08:14
C1 C105 36.273 17.944 18.329 00:20:46
C1 C106 4.56 4.56 0 00:03:19
C1 C107 7.322 7.322 0 00:04:42
C1 C108 15.432 15.432 0 00:09:39
C1 C109 20.983 17.846 3.137 00:13:36
C1 C110 17.462 14.909 2.553 00:10:47
C1 C111 23.083 18.895 4.188 00:14:25
C1 C112 10.522 10.522 0 00:07:04
C1 C113 10.522 10.522 0 00:07:04
C1 C114 17.782 17.782 0 00:11:39
C1 C115 10.191 5.641 4.55 00:06:41
C1 C116 21.392 14.173 7.219 00:12:45
C1 C117 8.788 8.788 0 00:05:36
C1 C118 25.43 18.99 6.44 00:15:51
C1 C119 12.867 9.017 3.85 00:08:45
C1 C120 14.611 5.641 8.97 00:09:04
C1 C121 31.481 3.465 28.016 00:19:50
C1 C122 23.822 19.091 4.731 00:14:53
C1 C123 29.464 17.944 11.52 00:18:22
C1 C124 15.174 3.465 11.709 00:09:39
C1 C125 10.212 3.465 6.747 00:07:04
C1 C126 24.422 19.091 5.331 00:17:38
C1 C127 19.945 2.639 17.306 00:12:24
C1 C128 30.678 18.591 12.087 00:18:42
C1 C129 24.348 20.562 3.786 00:15:12
C1 C130 24.574 9.017 15.557 00:15:13
C1 C131 44.168 18.99 25.178 00:25:26
C1 C132 29.719 17.944 11.775 00:17:10
C1 C133 29.779 18.99 10.789 00:18:53
C1 C134 29.631 17.944 11.687 00:18:15
C1 C135 12.867 9.017 3.85 00:08:45
C1 C136 36.658 22.991 13.667 00:22:40
C1 C137 21.457 19.091 2.366 00:13:28
C1 C138 9.942 9.942 0 00:06:16
C1 C139 12.126 5.641 6.485 00:07:35
C1 C140 13.471 13.471 0 00:08:24
C1 C141 10.881 10.881 0 00:06:50
C1 C142 42.633 18.99 23.643 00:34:41
C1 C143 31.834 14.93 16.904 00:18:24
C1 C144 14.618 8.483 6.135 00:09:54
C1 C145 13.689 13.689 0 00:08:32
C1 C146 17.776 9.746 8.03 00:11:22
C1 C147 16.315 8.483 7.832 00:10:47
C1 C148 17.191 17.191 0 00:11:16
C1 C149 27.655 18.99 8.665 00:17:50
C1 C150 10.262 6.323 3.939 00:06:56
C1 C151 6.669 6.669 0 00:04:53
C1 C152 37.127 14.93 22.197 00:21:52
C1 C153 44.591 18.99 25.601 00:25:27
C1 C154 10.868 10.868 0 00:06:55
C1 C155 3.996 3.996 0 00:03:02
C1 C156 10.734 10.734 0 00:06:45
C1 C157 6.184 6.184 0 00:04:07
C1 C158 13.451 3.465 9.986 00:09:00
C1 C159 28.691 17.944 10.747 00:17:50
C1 C160 12.648 12.648 0 00:07:59
C1 C161 12.794 3.465 9.329 00:08:16
C1 C162 1.314 1.314 0 00:01:12
C1 C163 36.551 18.99 17.561 00:22:05
C1 C164 23.891 18.99 4.901 00:14:55
C1 C165 34.454 17.944 16.51 00:21:38
C1 C166 8.075 8.075 0 00:05:13
C1 C167 18.416 14.93 3.486 00:11:43
C1 C168 25.005 17.31 7.695 00:15:29
C1 C169 28.461 14.93 13.531 00:17:02
C1 C170 19.106 3.465 15.641 00:14:45
C1 C171 22.915 17.31 5.605 00:14:13
C1 C172 18.969 3.465 15.504 00:14:29
C1 C173 21.851 18.922 2.929 00:14:08
C1 C174 11.929 11.929 0 00:07:33
C1 C175 8.98 8.98 0 00:05:58
C1 C176 3.17 3.17 0 00:02:28
C1 C177 10.187 10.187 0 00:06:34
C1 C178 32.38 14.93 17.45 00:18:34
C1 C179 7.798 7.798 0 00:05:00
C1 C180 39.326 18.99 20.336 00:22:05
C1 C181 37.198 18.99 18.208 00:23:02
C1 C182 24.636 18.99 5.646 00:15:22
C1 C183 13.944 8.483 5.461 00:09:39
C1 C184 38.219 18.99 19.229 00:23:50
C1 C185 29.844 17.944 11.9 00:18:09
C1 C186 26.403 17.944 8.459 00:21:05
C1 C187 33.647 18.99 14.657 00:20:27
C1 C188 24.776 3.465 21.311 00:15:58
C1 C189 23.073 9.017 14.056 00:14:37
C1 C190 8.707 8.707 0 00:06:43
C1 C191 8.159 8.159 0 00:05:50
C1 C192 8.89 8.89 0 00:05:44
C2 D0 11.174 0 11.174 00:05:53
C2 C1 25.038 18.983 6.055 00:15:11
C2 C2 0 0 0 00:00:00
C2 C3 21.563 8.064 13.499 00:11:12
C2 C4 17.052 5.771 11.281 00:08:34
C2 C5 20.757 14.702 6.055 00:12:28
C2 C6 17.942 11.887 6.055 00:10:37
C2 C7 11.982 5.927 6.055 00:07:02
C2 C8 17.043 2.234 14.809 00:09:34
C2 C9 11.334 0 11.334 00:07:09
C2 C10 23.662 17.607 6.055 00:14:09
C2 C11 24.441 0 24.441 00:12:23
C2 C12 27.482 21.427 6.055 00:16:31
C2 C13 29.788 2.234 27.554 00:17:49
C2 C14 29.112 9.087 20.025 00:14:32
C2 C15 26.554 2.234 24.32 00:13:56
C2 C16 19.772 0 19.772 00:11:58
C2 C17 8.472 0 8.472 00:05:02
C2 C18 13.534 7.479 6.055 00:07:58
C2 C19 33.344 9.087 24.257 00:16:12
C2 C20 12.054 0 12.054 00:07:10
C2 C21 4.81 0 4.81 00:03:19
C2 C22 23.622 4.843 18.779 00:12:14
C2 C23 19.376 4.882 14.494 00:09:41
C2 C24 48.09 9.087 39.003 00:22:29
C2 C25 13.745 6.225 7.52 00:08:06
C2 C26 40.347 11.057 29.29 00:19:59
C2 C27 23.636 17.581 6.055 00:14:13
C2 C28 24.626 0 24.626 00:15:13
C2 C29 31.237 2.234 29.003 00:16:40
C2 C30 26.823 20.768 6.055 00:16:05
C2 C31 12.385 0 12.385 00:07:38
C2 C32 30.551 22.871 7.68 00:18:24
C2 C33 24.184 6.447 17.737 00:12:11
C2 C34 39.538 11.057 28.481 00:20:12
C2 C35 24.041 14.1 9.941 00:14:51
C2 C36 16.692 5.411 11.281 00:08:04
C2 C37 26.339 0 26.339 00:14:54
C2 C38 28.026 14.1 13.926 00:16:52
C2 C39 12.173 0.878 11.295 00:05:57
C2 C40 2.215 0 2.215 00:01:01
C2 C41 22.16 2.234 19.926 00:11:44
C2 C42 19.356 0 19.356 00:12:03
C2 C43 35.704 14.1 21.604 00:21:37
C2 C44 13.591 0 13.591 00:08:05
C2 C45 31.206 7.777 23.429 00:16:33
C2 C46 10.345 4.29 6.055 00:06:12
C2 C47 13.112 0 13.112 00:07:48
C2 C48 19.072 13.017 6.055 00:11:26
C2 C49 43.712 9.087 34.625 00:20:47
C2 C50 11.736 0 11.736 00:07:14
C2 C51 18.45 12.395 6.055 00:10:57
C2 C52 10.908 0 10.908 00:06:01
C2 C53 22.299 16.244 6.055 00:13:14
C2 C54 15.732 3.872 11.86 00:09:41
C2 C55 22.676 16.621 6.055 00:13:27
C2 C56 39.477 11.057 28.42 00:19:28
C2 C57 34.942 6.447 28.495 00:18:51
C2 C58 28.922 22.867 6.055 00:17:18
C2 C59 10.627 0 10.627 00:05:24
C2 C60 38.817 11.057 27.76 00:19:06
C2 C61 18.65 2.234 16.416 00:09:58
C2 C62 14.875 3.872 11.003 00:09:01
C2 C63 30.363 7.777 22.586 00:15:54
C2 C64 16.393 0 16.393 00:09:31
C2 C65 17.503 11.448 6.055 00:10:21
C2 C66 22.533 0 22.533 00:11:43
C2 C67 34.253 9.087 25.166 00:17:06
C2 C68 15.049 0 15.049 00:08:40
C2 C69 13.194 0 13.194 00:06:55
C2 C70 34.176 6.447 27.729 00:17:11
C2 C71 22.855 0 22.855 00:11:49
C2 C72 25.373 0 25.373 00:15:18
C2 C73 24.002 4.843 19.159 00:12:34
C2 C74 23.36 3.872 19.488 00:14:05
C2 C75 24.994 18.939 6.055 00:15:02
C2 C76 10.246 0 10.246 00:05:50
C2 C77 17.953 3.872 14.081 00:10:50
C2 C78 12.753 0 12.753 00:07:55
C2 C79 18.407 0 18.407 00:11:31
C2 C80 8.941 0 8.941 00:04:43
C2 C81 25.113 2.234 22.879 00:13:10
C2 C82 11.128 0 11.128 00:06:18
C2 C83 24.866 2.234 22.632 00:13:50
C2 C84 7.234 1.179 6.055 00:04:11
C2 C85 16.644 0.942 15.702 00:09:51
C2 C86 38.007 11.057 26.95 00:18:35
C2 C87 29.275 23.22 6.055 00:17:30
C2 C88 23.119 0 23.119 00:13:48
C2 C89 9.904 0 9.904 00:08:29
C2 C90 14.733 8.678 6.055 00:09:13
C2 C91 26.552 0 26.552 00:15:37
C2 C92 24.972 2.234 22.738 00:12:45
C2 C93 23.004 16.949 6.055 00:13:39
C2 C94 16.442 3.872 12.57 00:10:08
C2 C95 23.928 0 23.928 00:12:12
C2 C96 12.432 6.377 6.055 00:07:19
C2 C97 31.053 24.998 6.055 00:20:01
C2 C98 15.106 0 15.106 00:08:45
C2 C99 30.74 2.234 28.506 00:17:48
C2 C100 16.639 10.584 6.055 00:09:50
C2 C101 26.645 20.59 6.055 00:16:08
C2 C102 26.597 0 26.597 00:15:46
C2 C103 34.488 9.087 25.401 00:16:43
C2 C104 14.197 8.142 6.055 00:08:54
C2 C105 17.286 0 17.286 00:10:18
C2 C106 28.883 22.828 6.055 00:17:21
C2 C107 22.089 16.034 6.055 00:13:06
C2 C108 10.546 4.491 6.055 00:06:11
C2 C109 11.953 0 11.953 00:06:53
C2 C110 25.131 10.796 14.335 00:12:06
C2 C111 16.549 0 16.549 00:09:00
C2 C112 15.286 9.231 6.055 00:09:10
C2 C113 15.286 9.231 6.055 00:09:10
C2 C114 10.81 4.755 6.055 00:06:40
C2 C115 32.895 22.29 10.605 00:19:51
C2 C116 23.729 6.447 17.282 00:11:54
C2 C117 27.088 21.033 6.055 00:16:08
C2 C118 9.391 0 9.391 00:05:19
C2 C119 28.124 12.639 15.485 00:14:14
C2 C120 36.938 9.087 27.851 00:17:15
C2 C121 32.602 0 32.602 00:19:15
C2 C122 7.009 0 7.009 00:03:37
C2 C123 15.483 0 15.483 00:09:08
C2 C124 16.731 3.872 12.859 00:10:06
C2 C125 24.694 3.872 20.822 00:15:25
C2 C126 7.609 0 7.609 00:06:21
C2 C127 19.433 2.234 17.199 00:10:20
C2 C128 25.369 0 25.369 00:14:19
C2 C129 10.963 0 10.963 00:06:26
C2 C130 39.482 9.087 30.395 00:19:42
C2 C131 25.158 0 25.158 00:13:38
C2 C132 20.668 0 20.668 00:11:00
C2 C133 11.772 0 11.772 00:07:11
C2 C134 11.501 0 11.501 00:07:12
C2 C135 28.124 12.639 15.485 00:14:14
C2 C136 20.213 0 20.213 00:11:41
C2 C137 6.268 0 6.268 00:03:10
C2 C138 28.126 22.071 6.055 00:16:44
C2 C139 30.944 21.991 8.953 00:18:25
C2 C140 17.614 10.094 7.52 00:10:25
C2 C141 18.505 11.813 6.692 00:10:57
C2 C142 23.623 0 23.623 00:22:53
C2 C143 39.576 11.057 28.519 00:19:41
C2 C144 34.412 14.1 20.312 00:21:02
C2 C145 15.333 8.641 6.692 00:09:03
C2 C146 36.236 9.087 27.149 00:17:33
C2 C147 48.956 9.087 39.869 00:23:16
C2 C148 9.009 2.954 6.055 00:05:52
C2 C149 9.337 0 9.337 00:05:52
C2 C150 28.461 14.1 14.361 00:16:56
C2 C151 18.688 12.633 6.055 00:11:36
C2 C152 44.869 11.057 33.812 00:23:08
C2 C153 25.581 0 25.581 00:13:39
C2 C154 15.381 9.326 6.055 00:09:05
C2 C155 25.374 19.319 6.055 00:15:12
C2 C156 28.314 22.259 6.055 00:16:50
C2 C157 19.806 13.751 6.055 00:11:53
C2 C158 20.673 3.872 16.801 00:12:36
C2 C159 11.382 0 11.382 00:07:15
C2 C160 18.652 11.132 7.52 00:11:07
C2 C161 19.771 3.872 15.899 00:11:55
C2 C162 25.637 19.582 6.055 00:15:14
C2 C163 17.541 0 17.541 00:10:17
C2 C164 7.936 0 7.936 00:04:43
C2 C165 20.205 0 20.205 00:12:03
C2 C166 18.417 12.362 6.055 00:10:57
C2 C167 26.158 11.057 15.101 00:12:59
C2 C168 29.695 6.447 23.248 00:15:41
C2 C169 36.203 11.057 25.146 00:18:19
C2 C170 30.092 2.234 27.858 00:18:42
C2 C171 27.623 6.447 21.176 00:14:27
C2 C172 24.406 2.234 22.172 00:15:07
C2 C173 6.386 0 6.386 00:03:37
C2 C174 13.959 7.904 6.055 00:08:14
C2 C175 18.296 12.241 6.055 00:11:03
C2 C176 22.062 16.007 6.055 00:13:08
C2 C177 28.487 22.432 6.055 00:17:05
C2 C178 40.122 11.057 29.065 00:19:51
C2 C179 22.599 16.544 6.055 00:13:37
C2 C180 20.316 0 20.316 00:10:18
C2 C181 19.836 0 19.836 00:11:18
C2 C182 6.773 0 6.773 00:04:04
C2 C183 37.086 14.1 22.986 00:22:24
C2 C184 20.371 0 20.371 00:12:13
C2 C185 13.855 0 13.855 00:07:43
C2 C186 17.761 0 17.761 00:14:11
C2 C187 15.329 0 15.329 00:08:29
C2 C188 27.977 2.234 25.743 00:16:00
C2 C189 37.981 9.087 28.894 00:19:06
C2 C190 31.571 25.516 6.055 00:19:47
C2 C191 32.482 26.427 6.055 00:19:52
C2 C192 16.429 10.374 6.055 00:10:02
C3 D0 16.516 8.601 7.915 00:09:50
C3 C1 14.345 14.345 0 00:08:58
C3 C2 22.303 20.611 1.692 00:13:20
C3 C3 0 0 0 00:00:00
C3 C4 6.773 4.647 2.126 00:04:34
C3 C5 11.089 11.089 0 00:07:08
C3 C6 8.373 8.373 0 00:05:04
C3 C7 16.26 16.26 0 00:09:48
C3 C8 24.681 19.828 4.853 00:14:56
C3 C9 20.095 8.601 11.494 00:12:44
C3 C10 10.645 10.645 0 00:06:33
C3 C11 39.331 8.601 30.73 00:20:28
C3 C12 15.638 15.638 0 00:09:36
C3 C13 35.04 14.676 20.364 00:22:34
C3 C14 8.887 3.681 5.206 00:05:55
C3 C15 25.349 16.237 9.112 00:15:47
C3 C16 34.662 8.601 26.061 00:20:02
C3 C17 13.26 9.161 4.099 00:08:08
C3 C18 12.744 12.744 0 00:08:06
